codepoint,replacement,status,rule_type,notes_safe
U+F247,,UNMAPPED,SIMPLE,unmapped; human review required
U+F248,,UNMAPPED,SIMPLE,unmapped; human review required
U+F249,ย์,VERIFIED,SIMPLE,human-reviewed
U+F24A,ร์,VERIFIED,SIMPLE,human-reviewed
U+F24C,ล์,VERIFIED,SIMPLE,human-reviewed
U+F24E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F24F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F250,,UNMAPPED,SIMPLE,unmapped; human review required
U+F251,,UNMAPPED,SIMPLE,unmapped; human review required
U+F252,,UNMAPPED,SIMPLE,unmapped; human review required
U+F256,กำ,VERIFIED,SIMPLE,human-reviewed
U+F259,คำ,VERIFIED,SIMPLE,human-reviewed
U+F25C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F25D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F25F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F269,,UNMAPPED,SIMPLE,unmapped; human review required
U+F26A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F26C,ทำ,VERIFIED,SIMPLE,human-reviewed
U+F26E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F26F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F273,,UNMAPPED,SIMPLE,unmapped; human review required
U+F277,,UNMAPPED,SIMPLE,unmapped; human review required
U+F278,,UNMAPPED,SIMPLE,unmapped; human review required
U+F27A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F27F,สำ,VERIFIED,SIMPLE,human-reviewed
U+F282,,UNMAPPED,SIMPLE,unmapped; human review required
U+F287,,UNMAPPED,SIMPLE,unmapped; human review required
U+F28D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F297,,UNMAPPED,SIMPLE,unmapped; human review required
U+F299,,UNMAPPED,SIMPLE,unmapped; human review required
U+F29A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F29C,นั้,VERIFIED,SIMPLE,human-reviewed
U+F29D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F29E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2A0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2A4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2A5,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2A6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2A8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2AA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2AD,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2B0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2B2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2B3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2B5,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2B8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2BB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2C5,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2C6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2C8,ทั้,VERIFIED,SIMPLE,human-reviewed
U+F2CA,นั้,VERIFIED,SIMPLE,human-reviewed
U+F2CB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2CC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2D2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2D3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2D4,รั้,VERIFIED,SIMPLE,human-reviewed
U+F2D6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F2DB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F30C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F322,,UNMAPPED,SIMPLE,unmapped; human review required
U+F33C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F345,,UNMAPPED,SIMPLE,unmapped; human review required
U+F34F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F351,,UNMAPPED,SIMPLE,unmapped; human review required
U+F352,,UNMAPPED,SIMPLE,unmapped; human review required
U+F354,,UNMAPPED,SIMPLE,unmapped; human review required
U+F355,,UNMAPPED,SIMPLE,unmapped; human review required
U+F359,,UNMAPPED,SIMPLE,unmapped; human review required
U+F35C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F35D,ยิ่,VERIFIED,SIMPLE,human-reviewed
U+F35E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F360,,UNMAPPED,SIMPLE,unmapped; human review required
U+F362,,UNMAPPED,SIMPLE,unmapped; human review required
U+F365,สิ่,VERIFIED,SIMPLE,human-reviewed
U+F368,,UNMAPPED,SIMPLE,unmapped; human review required
U+F373,,UNMAPPED,SIMPLE,unmapped; human review required
U+F37D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F380,,UNMAPPED,SIMPLE,unmapped; human review required
U+F382,,UNMAPPED,SIMPLE,unmapped; human review required
U+F384,,UNMAPPED,SIMPLE,unmapped; human review required
U+F38B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F38C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F38E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F390,,UNMAPPED,SIMPLE,unmapped; human review required
U+F393,,UNMAPPED,SIMPLE,unmapped; human review required
U+F397,,UNMAPPED,SIMPLE,unmapped; human review required
U+F3B2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F407,,UNMAPPED,SIMPLE,unmapped; human review required
U+F40B,,UNMAPPED,SIMPLE,unmapped; human review required
